iter	Passed	Remaining
914	6990	649
915	6997	641
916	7003	633
917	7011	626
918	7017	618
919	7025	610
920	7032	603
921	7039	595
922	7046	587
923	7052	580
924	7060	572
925	7066	564
926	7075	557
927	7081	549
928	7089	541
929	7095	534
930	7103	526
931	7109	518
932	7116	511
933	7123	503
934	7131	495
935	7139	488
936	7145	480
937	7153	472
938	7159	465
939	7166	457
940	7173	449
941	7179	442
942	7187	434
943	7194	426
944	7202	419
945	7208	411
946	7215	403
947	7223	396
948	7229	388
949	7237	380
950	7244	373
951	7252	365
952	7260	358
953	7267	350
954	7274	342
955	7280	335
956	7288	327
957	7294	319
958	7302	312
959	7309	304
960	7317	296
961	7323	289
962	7329	281
963	7337	274
964	7344	266
965	7351	258
966	7358	251
967	7412	245
968	7424	237
969	7432	229
970	7439	222
971	7445	214
972	7453	206
973	7460	199
974	7468	191
975	7475	183
976	7482	176
977	7489	168
978	7495	160
979	7503	153
980	7510	145
981	7518	137
982	7524	130
983	7532	122
984	7538	114
985	7546	107
986	7553	99
987	7559	91
988	7567	84
989	7573	76
990	7581	68
991	7588	61
992	7595	53
993	7602	45
994	7608	38
995	7616	30
996	7623	22
997	7630	15
998	7637	7
999	7645	0
